event,A_cloz_event,B_cloz_other,C_nocloz_event,D_nocloz_other,IC025_openvigil,IC975_openvigil
Myocarditis,1558,101773,6043,13995368,4.71,4.85
Left atrial enlargement,23,103308,273,14001138,2.44,3.63
Left ventricular hypertrophy,150,103181,2091,13999320,2.88,3.35
Echocardiogram abnormal,56,103275,831,14000580,2.57,3.33
Bundle branch block right,143,103188,2547,13998864,2.55,3.03
Congestive cardiomyopathy,151,103180,2975,13998436,2.43,2.89
Tachycardia,2072,101259,49101,13952310,2.39,2.52
Electrocardiogram QT prolonged,719,102612,17189,13984222,2.33,2.54
Cardiomyopathy,381,102950,9123,13992288,2.27,2.57
Ejection fraction decreased,193,103138,9583,13991828,1.19,1.6
