"gene","conc","lfc","padj","baseMean","tested","sig"
"EGLN3",0.2,-0.040248092227797,0.999605812692796,504.44578643338,TRUE,FALSE
"EGLN3",1,-0.0402623648363812,0.999974223984859,511.772746931738,TRUE,FALSE
"EGLN3",10,-2.11653442178911,0.000345250936921179,420.916486954313,TRUE,TRUE
"HIST1H1B",0.2,0.519479002040659,0.999605812692796,525.274822796898,TRUE,FALSE
"HIST1H1B",1,0.80579382840329,0.226512996054275,563.897512318285,TRUE,FALSE
"HIST1H1B",10,1.65597675962574,3.50363539880916e-05,677.370296842017,TRUE,TRUE
"HIST1H4I",0.2,0.243814278051014,0.999605812692796,473.515331500238,TRUE,FALSE
"HIST1H4I",1,0.33183472773666,0.999974223984859,486.882401723644,TRUE,FALSE
"HIST1H4I",10,1.25063777020215,0.018172679655951,570.022827871794,TRUE,TRUE
"HIST2H4B",0.2,0.355215581974185,0.999605812692796,1438.22048641117,TRUE,FALSE
"HIST2H4B",1,0.465479275686914,0.75417006044268,1486.15362968824,TRUE,FALSE
"HIST2H4B",10,1.24176285503613,4.438959402201e-05,1696.68874835727,TRUE,TRUE
"NUSAP1",0.2,0.421683979498737,0.98463570973965,771.118353004452,TRUE,FALSE
"NUSAP1",1,0.642180459204253,0.289886748311408,814.876400102072,TRUE,FALSE
"NUSAP1",10,1.13199639025935,0.00185762105765589,875.078431966285,TRUE,TRUE
"PRSS45P",0.2,-0.0343365859013199,0.999605812692796,1147.85596077344,TRUE,FALSE
"PRSS45P",1,-0.307323158057428,0.999974223984859,1124.24044788787,TRUE,FALSE
"PRSS45P",10,-1.39325574817262,0.0345245980595223,991.131686004013,TRUE,TRUE
"SH3D21",0.2,-0.110873433622573,0.999605812692796,3909.5606895933,TRUE,FALSE
"SH3D21",1,-0.467635121943724,0.999974223984859,3796.40265421174,TRUE,FALSE
"SH3D21",10,-1.44098073957058,0.000345250936921179,3394.66879004954,TRUE,TRUE
"TNFRSF12A",0.2,-0.155952008578389,0.999605812692796,449.407586330014,TRUE,FALSE
"TNFRSF12A",1,-0.54844514575804,0.999974223984859,436.900772280004,TRUE,FALSE
"TNFRSF12A",10,-2.14498021179304,0.0100628180516067,380.278829108957,TRUE,TRUE
"VEGFA",0.2,-0.340793504862342,0.999605812692796,352.668641822648,TRUE,FALSE
"VEGFA",1,-0.736470385482147,0.779881156403171,343.923138687153,TRUE,FALSE
"VEGFA",10,-1.74880863516234,0.00412611140348699,310.174208247253,TRUE,TRUE
