"drug","plate","n_deg","eligible","observed","expected","p"
"Ibutilide",16,21,31,5,0.69,0.000388581820902872
"Haloperidol",15,95,37,8,2.2,0.00106534316998376
"Verapamil",16,63,28,7,1.99,0.00236590765542945
"Bepridil",15,213,31,12,5.78,0.00647780957011157
"Dofetilide",16,16,30,3,0.55,0.0149825472854985
"Astemizole",16,34,33,3,0.99,0.0722970649932429
"Azimilide",16,11,31,1,0.36,0.305219380056984
"Nitrendipine",16,14,27,1,0.47,0.384870834288163
"Quinidine",16,36,29,1,1.18,0.706011662507208
"Droperidol",16,0,32,0,0,1
"Domperidone",16,0,33,0,0,1
"Risperidone",16,0,32,0,0,1
"D,1 Sotalol",16,0,31,0,0,1
"Cisapride",16,0,32,0,0,1
"Terfenadine",16,0,32,0,0,1
"Vernakalant",16,2,33,0,0.06,1
"Ranolazine",16,0,33,0,0,1
"Nifedipine",16,1,32,0,0.03,1
"Disopyramide",16,0,32,0,0,1
"Mexiletine",16,0,31,0,0,1
"Atenolol",15,0,34,0,0,1
