"event","n_cases","rate_pct","ROR","ROR_lo","ROR_hi","PRR","chi2_yates","IC","IC025","IC975"
"Myocarditis",1558,1.508,35.45,33.52,37.5,34.93,40824.8,4.79,4.71,4.85
"Left atrial enlargement",23,0.022,11.42,7.46,17.48,11.42,192,3.14,2.44,3.63
"Left ventricular hypertrophy",150,0.145,9.73,8.25,11.49,9.72,1086.9,3.15,2.88,3.35
"Echocardiogram abnormal",56,0.054,9.14,6.97,11.98,9.13,372.3,3.01,2.57,3.33
"Bundle branch block right",143,0.138,7.62,6.44,9.02,7.61,770.9,2.83,2.55,3.03
"Congestive cardiomyopathy",151,0.146,6.89,5.85,8.11,6.88,716.4,2.69,2.43,2.89
"Tachycardia",2072,2.005,5.81,5.56,6.08,5.72,7763,2.46,2.39,2.52
"Electrocardiogram QT prolonged",719,0.696,5.7,5.29,6.14,5.67,2651.9,2.45,2.33,2.54
"Cardiomyopathy",381,0.369,5.68,5.12,6.29,5.66,1399.2,2.44,2.27,2.57
"Ejection fraction decreased",193,0.187,2.73,2.37,3.15,2.73,205.7,1.42,1.19,1.6
