"Event","Total cases","Death","Life-Threatening","Hospitalisation","Disability","Required intervention","Congenital Anomaly"
"Myocarditis",1558,"122 (7.8%)","178 (11.4%)","852 (54.7%)","12 (0.8%)","14 (0.9%)","2 (0.1%)"
"Left atrial enlargement",23,"1 (4.3%)","0 (0.0%)","8 (34.8%)","2 (8.7%)","0 (0.0%)","0 (0.0%)"
"Left ventricular hypertrophy",150,"54 (36.0%)","6 (4.0%)","39 (26.0%)","3 (2.0%)","0 (0.0%)","0 (0.0%)"
"Echocardiogram abnormal",56,"1 (1.8%)","2 (3.6%)","16 (28.6%)","1 (1.8%)","0 (0.0%)","0 (0.0%)"
"Bundle branch block right",143,"5 (3.5%)","9 (6.3%)","46 (32.2%)","3 (2.1%)","0 (0.0%)","0 (0.0%)"
"Congestive cardiomyopathy",151,"51 (33.8%)","26 (17.2%)","72 (47.7%)","4 (2.6%)","1 (0.7%)","0 (0.0%)"
"Tachycardia",2072,"86 (4.2%)","180 (8.7%)","1096 (52.9%)","13 (0.6%)","15 (0.7%)","0 (0.0%)"
"Electrocardiogram QT prolonged",719,"52 (7.2%)","54 (7.5%)","218 (30.3%)","5 (0.7%)","2 (0.3%)","1 (0.1%)"
"Cardiomyopathy",381,"54 (14.2%)","47 (12.3%)","191 (50.1%)","6 (1.6%)","8 (2.1%)","0 (0.0%)"
"Ejection fraction decreased",193,"8 (4.1%)","24 (12.4%)","86 (44.6%)","3 (1.6%)","2 (1.0%)","0 (0.0%)"
