"Category","Subgroup","Myocarditis","Left atrial enlargement","Left ventricular hypertrophy","Echocardiogram abnormal","Bundle branch block right","Congestive cardiomyopathy","Tachycardia","Electrocardiogram QT prolonged","Cardiomyopathy","Ejection fraction decreased"
"Total unique cases","","1558","23","150","56","143","151","2072","719","381","193"
"Suspect attribution","Primary suspect","1097 (70.4%)","18 (78.3%)","92 (61.3%)","51 (91.1%)","115 (80.4%)","110 (72.8%)","1382 (66.7%)","390 (54.2%)","271 (71.1%)","137 (71.0%)"
"","Secondary suspect","395 (25.4%)","4 (17.4%)","52 (34.7%)","5 (8.9%)","25 (17.5%)","40 (26.5%)","579 (27.9%)","271 (37.7%)","102 (26.8%)","53 (27.5%)"
"","Interacting / concomitant","66 (4.2%)","1 (4.3%)","6 (4.0%)","0 (0.0%)","3 (2.1%)","1 (0.7%)","111 (5.4%)","58 (8.1%)","8 (2.1%)","3 (1.6%)"
"Sex","Male","1059 (68.0%)","13 (56.5%)","121 (80.7%)","42 (75.0%)","94 (65.7%)","117 (77.5%)","1363 (65.8%)","365 (50.8%)","266 (69.8%)","143 (74.1%)"
"","Female","387 (24.8%)","10 (43.5%)","22 (14.7%)","14 (25.0%)","43 (30.1%)","23 (15.2%)","603 (29.1%)","291 (40.5%)","91 (23.9%)","41 (21.2%)"
"","Unknown / not specified","112 (7.2%)","0 (0.0%)","7 (4.7%)","0 (0.0%)","6 (4.2%)","11 (7.3%)","106 (5.1%)","63 (8.8%)","24 (6.3%)","9 (4.7%)"
"Age (years)","<18","45 (2.9%)","1 (4.3%)","0 (0.0%)","0 (0.0%)","3 (2.1%)","4 (2.6%)","73 (3.5%)","13 (1.8%)","10 (2.6%)","7 (3.6%)"
"","18-44","840 (53.9%)","8 (34.8%)","53 (35.3%)","23 (41.1%)","49 (34.3%)","59 (39.1%)","980 (47.3%)","263 (36.6%)","139 (36.5%)","89 (46.1%)"
"","45-64","257 (16.5%)","8 (34.8%)","49 (32.7%)","12 (21.4%)","44 (30.8%)","54 (35.8%)","361 (17.4%)","174 (24.2%)","95 (24.9%)","42 (21.8%)"
"","65+","41 (2.6%)","2 (8.7%)","6 (4.0%)","2 (3.6%)","8 (5.6%)","3 (2.0%)","102 (4.9%)","28 (3.9%)","10 (2.6%)","9 (4.7%)"
"","Unknown","375 (24.1%)","4 (17.4%)","42 (28.0%)","19 (33.9%)","39 (27.3%)","31 (20.5%)","556 (26.8%)","241 (33.5%)","127 (33.3%)","46 (23.8%)"
"Reporter country","Australia","443 (28.4%)","7 (30.4%)","52 (34.7%)","45 (80.4%)","38 (26.6%)","22 (14.6%)","213 (10.3%)","119 (16.6%)","124 (32.5%)","94 (48.7%)"
"","United States","365 (23.4%)","1 (4.3%)","9 (6.0%)","1 (1.8%)","16 (11.2%)","8 (5.3%)","351 (16.9%)","57 (7.9%)","62 (16.3%)","29 (15.0%)"
"","Canada","223 (14.3%)","13 (56.5%)","9 (6.0%)","1 (1.8%)","26 (18.2%)","1 (0.7%)","272 (13.1%)","73 (10.2%)","30 (7.9%)","12 (6.2%)"
"","United Kingdom","131 (8.4%)","1 (4.3%)","56 (37.3%)","5 (8.9%)","39 (27.3%)","26 (17.2%)","641 (30.9%)","244 (33.9%)","71 (18.6%)","9 (4.7%)"
"","Germany","57 (3.7%)","0 (0.0%)","1 (0.7%)","1 (1.8%)","3 (2.1%)","9 (6.0%)","76 (3.7%)","24 (3.3%)","17 (4.5%)","3 (1.6%)"
"","Other","310 (19.9%)","1 (4.3%)","23 (15.3%)","2 (3.6%)","14 (9.8%)","80 (53.0%)","442 (21.3%)","182 (25.3%)","65 (17.1%)","45 (23.3%)"
"","Not specified","29 (1.9%)","0 (0.0%)","0 (0.0%)","1 (1.8%)","7 (4.9%)","5 (3.3%)","77 (3.7%)","20 (2.8%)","12 (3.1%)","1 (0.5%)"
